Label,Name
VZ,Verizon Communications Inc.
DD,E. I. du Pont de Nemours and Company
CSCO,Cisco Systems, Inc.
MSFT,Microsoft Corporation
MMM,3M Company
AAPL,Apple Inc.
UTX,United Technologies Corporation
XOM,Exxon Mobil Corporation
IBM,International Business Machines Corporation
NKE,NIKE, Inc.
CVX,Chevron Corporation
INTC,Intel Corporation
V,Visa Inc.
HD,The Home Depot, Inc.
DIS,The Walt Disney Company
GE,General Electric Company
PG,The Procter & Gamble Company
BA,The Boeing Company
TRV,The Travelers Companies, Inc.
CAT,Caterpillar Inc.
PFE,Pfizer Inc.
WMT,Wal-Mart Stores, Inc.
AXP,American Express Company
JPM,JPMorgan Chase & Co.
KO,The Coca-Cola Company
MCD,McDonald's Corporation
MRK,Merck & Co., Inc.
UNH,UnitedHealth Group Incorporated
JNJ,Johnson & Johnson
GS,The Goldman Sachs Group, Inc.
