,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,3M,http://www.finanzen.net/aktien/3M-Aktie,US88579Y1010,851745,MMM,USA,MMM,True
1,American Express,http://www.finanzen.net/aktien/American_Express-Aktie,US0258161092,850226,AXP,USA,AXP,True
2,Apple,http://www.finanzen.net/aktien/Apple-Aktie,US0378331005,865985,AAPL,USA,AAPL,True
3,Boeing,http://www.finanzen.net/aktien/Boeing-Aktie,US0970231058,850471,BA,USA,BA,True
4,Caterpillar,http://www.finanzen.net/aktien/Caterpillar-Aktie,US1491231015,850598,CAT,USA,CAT,True
5,Chevron,http://www.finanzen.net/aktien/Chevron-Aktie,US1667641005,852552,CVX,USA,CVX,True
6,Cisco,http://www.finanzen.net/aktien/Cisco-Aktie,US17275R1023,878841,CSCO,USA,CSCO,True
7,Coca-Cola,http://www.finanzen.net/aktien/Coca-Cola-Aktie,US1912161007,850663,KO,USA,KO,True
8,DowDuPont,http://www.finanzen.net/aktien/DowDuPont-Aktie,US26078J1007,A2DN8H,DWDP,USA,DWDP,True
9,ExxonMobil,http://www.finanzen.net/aktien/ExxonMobil-Aktie,US30231G1022,852549,XOM,USA,XOM,True
10,General Electric,http://www.finanzen.net/aktien/General_Electric-Aktie,US3696041033,851144,GE,USA,GE,True
11,Goldman Sachs,http://www.finanzen.net/aktien/Goldman_Sachs-Aktie,US38141G1040,920332,GS,USA,GS,True
12,Home Depot,http://www.finanzen.net/aktien/Home_Depot-Aktie,US4370761029,866953,HD,USA,HD,True
13,IBM,http://www.finanzen.net/aktien/IBM-Aktie,US4592001014,851399,IBM,USA,IBM,True
14,Intel,http://www.finanzen.net/aktien/Intel-Aktie,US4581401001,855681,INTC,USA,INTC,True
15,Johnson Johnson,http://www.finanzen.net/aktien/JohnsonJohnson-Aktie,US4781601046,853260,JNJ,USA,JNJ,True
16,JPMorgan Chase,http://www.finanzen.net/aktien/JPMorgan-Aktie,US46625H1005,850628,JPM,USA,JPM,True
17,McDonalds,http://www.finanzen.net/aktien/McDonalds-Aktie,US5801351017,856958,MCD,USA,MCD,True
18,Merck,http://www.finanzen.net/aktien/MerckCo-Aktie,US58933Y1055,A0YD8Q,MRK,USA,MRK,True
19,Microsoft,http://www.finanzen.net/aktien/Microsoft-Aktie,US5949181045,870747,MSFT,USA,MSFT,True
20,Nike,http://www.finanzen.net/aktien/Nike-Aktie,US6541061031,866993,NKE,USA,NKE,True
21,Pfizer,http://www.finanzen.net/aktien/Pfizer-Aktie,US7170811035,852009,PFE,USA,PFE,True
22,Procter Gamble,http://www.finanzen.net/aktien/Procter_Gamble-Aktie,US7427181091,852062,PG,USA,PG,True
23,Travelers,http://www.finanzen.net/aktien/Travelers-Aktie,US89417E1091,A0MLX4,TRV,USA,TRV,True
24,United Technologies,http://www.finanzen.net/aktien/United_Technologies-Aktie,US9130171096,852759,UTX,USA,UTX,True
25,UnitedHealth,http://www.finanzen.net/aktien/UnitedHealth-Aktie,US91324P1021,869561,UNH,USA,UNH,True
26,Verizon,http://www.finanzen.net/aktien/Verizon-Aktie,US92343V1044,868402,VZ,USA,VZ,True
27,Visa,http://www.finanzen.net/aktien/Visa-Aktie,US92826C8394,A0NC7B,V,USA,V,True
28,Walmart,http://www.finanzen.net/aktien/Walmart-Aktie,US9311421039,860853,WMT,USA,WMT,True
29,Walt Disney,http://www.finanzen.net/aktien/Walt_Disney-Aktie,US2546871060,855686,DIS,USA,DIS,True
30,21st Century Fox (A),http://www.finanzen.net/aktien/21st_Century_Fox_A-Aktie,US90130A1016,A1WZP6,FOXA,USA,FOXA,True
31,21st Century Fox (B),http://www.finanzen.net/aktien/21st_Century_Fox_B-Aktie,US90130A2006,A1WZPY,FOX,B),FOX,True
32,Activision Blizzard,http://www.finanzen.net/aktien/Activision_Blizzard-Aktie,US00507V1098,A0Q4K4,ATVI,USA,ATVI,True
33,Adobe,http://www.finanzen.net/aktien/Adobe-Aktie,US00724F1012,871981,ADBE,USA,ADBE,True
34,Akamai,http://www.finanzen.net/aktien/Akamai-Aktie,US00971T1016,928906,AKAM,USA,AKAM,True
35,Alexion Pharmaceuticals,http://www.finanzen.net/aktien/Alexion-Aktie,US0153511094,899527,ALXN,USA,ALXN,True
36,Alphabet A (ex Google),http://www.finanzen.net/aktien/Alphabet_A-Aktie,US02079K3059,A14Y6F,GOOGL,USA,GOOGL,True
37,Alphabet C (ex Google),http://www.finanzen.net/aktien/Alphabet-Aktie,US02079K1079,A14Y6H,GOOG,USA,GOOG,True
38,Altaba,http://www.finanzen.net/aktien/Altaba-Aktie,US0213461017,A2DSZX,AABA,USA,AABA,True
39,Amazon,http://www.finanzen.net/aktien/Amazon-Aktie,US0231351067,906866,AMZN,USA,AMZN,True
40,American Airlines,http://www.finanzen.net/aktien/American_Airlines-Aktie,US02376R1023,A1W97M,AAL,USA,AAL,True
41,Amgen,http://www.finanzen.net/aktien/Amgen-Aktie,US0311621009,867900,AMGN,USA,AMGN,True
42,Analog Devices,http://www.finanzen.net/aktien/Analog_Devices-Aktie,US0326541051,862485,ADI,USA,ADI,True
43,Applied Materials,http://www.finanzen.net/aktien/Applied_Materials-Aktie,US0382221051,865177,AMAT,USA,AMAT,True
44,Autodesk,http://www.finanzen.net/aktien/Autodesk-Aktie,US0527691069,869964,ADSK,USA,ADSK,True
45,Automatic Data Processing,http://www.finanzen.net/aktien/Automatic_Data_Processing-Aktie,US0530151036,850347,ADP,USA,ADP,True
46,Baidu.com,http://www.finanzen.net/aktien/Baiducom-Aktie,US0567521085,A0F5DE,BIDU,USA,BIDU,True
47,Biogen,http://www.finanzen.net/aktien/Biogen-Aktie,US09062X1037,789617,BIIB,USA,BIIB,True
48,Biomarin Pharmaceutical,http://www.finanzen.net/aktien/Biomarin_Pharmaceutical-Aktie,US09061G1013,924801,BMRN,USA,BMRN,True
49,Broadcom,http://www.finanzen.net/aktien/Broadcom-Aktie,SG9999014823,A2ADV9,AVGO,Singapur,AVGO,True
50,CA,http://www.finanzen.net/aktien/CA-Aktie,US12673P1057,A0JC59,CA,USA,CA,True
51,Celgene,http://www.finanzen.net/aktien/Celgene-Aktie,US1510201049,881244,CELG,USA,CELG,True
52,Cerner,http://www.finanzen.net/aktien/Cerner-Aktie,US1567821046,892807,CERN,USA,CERN,True
53,Charter A,http://www.finanzen.net/aktien/Charter-Aktie,US16119P1084,A2AJX9,CHTR,USA,CHTR,True
54,Check Point Software,http://www.finanzen.net/aktien/Check_Point_Software-Aktie,IL0010824113,901638,CHKP,Israel,CHKP,True
55,Cintas,http://www.finanzen.net/aktien/Cintas-Aktie,US1729081059,880205,CTAS,USA,CTAS,True
56,Citrix Systems,http://www.finanzen.net/aktien/Citrix_Systems-Aktie,US1773761002,898407,CTXS,USA,CTXS,True
57,Cognizant,http://www.finanzen.net/aktien/Cognizant-Aktie,US1924461023,915272,CTSH,USA,CTSH,True
58,Comcast,http://www.finanzen.net/aktien/Comcast-Aktie,US20030N1019,157484,CMCSA,USA,CMCSA,True
59,Costco Wholesale,http://www.finanzen.net/aktien/Costco_Wholesale-Aktie,US22160K1051,888351,COST,USA,COST,True
60,CSX,http://www.finanzen.net/aktien/CSX-Aktie,US1264081035,865857,CSX,USA,CSX,True
61,Ctrip.com,http://www.finanzen.net/aktien/Ctripcom-Aktie,US22943F1003,A0BK6U,CTRP,China,CTRP,True
62,DENTSPLY SIRONA,http://www.finanzen.net/aktien/Dentsply_Sirona-Aktie,US24906P1093,A2AF0E,XRAY,USA,XRAY,True
63,Discovery Communications,http://www.finanzen.net/aktien/Discovery_Communications-Aktie,US25470F3029,A0Q90J,DISCK,ns,DISCK,True
64,Discovery Communications A,http://www.finanzen.net/aktien/Discovery_Communication_a-Aktie,US25470F1049,A0Q90G,DISCA,USA,DISCA,True
65,Dish Network,http://www.finanzen.net/aktien/Dish_Network-Aktie,US25470M1099,A0NBN0,DISH,USA,DISH,True
66,Dollar Tree,http://www.finanzen.net/aktien/Dollar_Tree-Aktie,US2567461080,A0NFQC,DLTR,USA,DLTR,True
67,eBay,http://www.finanzen.net/aktien/eBay-Aktie,US2786421030,916529,EBAY,USA,EBAY,True
68,Electronic Arts,http://www.finanzen.net/aktien/Electronic_Arts-Aktie,US2855121099,878372,EA,USA,EA,True
69,Expedia,http://www.finanzen.net/aktien/Expedia-Aktie,US30212P3038,A1JRLJ,EXPE,USA,EXPE,True
70,Express Scripts,http://www.finanzen.net/aktien/Express_Scripts-Aktie,US30219G1085,A1JWJL,ESRX,USA,ESRX,True
71,Facebook,http://www.finanzen.net/aktien/facebook-Aktie,US30303M1027,A1JWVX,FB,USA,FB,True
72,Fastenal,http://www.finanzen.net/aktien/Fastenal-Aktie,US3119001044,887891,FAST,USA,FAST,True
73,Fiserv,http://www.finanzen.net/aktien/Fiserv-Aktie,US3377381088,881793,FISV,USA,FISV,True
74,Gilead Sciences,http://www.finanzen.net/aktien/Gilead_Sciences-Aktie,US3755581036,885823,GILD,USA,GILD,True
75,Hasbro,http://www.finanzen.net/aktien/Hasbro-Aktie,US4180561072,859888,HAS,USA,HAS,True
76,Henry Schein,http://www.finanzen.net/aktien/Henry_Schein-Aktie,US8064071025,897961,HSIC,USA,HSIC,True
77,Hologic,http://www.finanzen.net/aktien/Hologic-Aktie,US4364401012,879100,HOLX,USA,HOLX,True
78,IDEXX Laboratories,http://www.finanzen.net/aktien/IDEXX_Laboratories_1-Aktie,US45168D1046,888210,IDXX,USA,IDXX,True
79,Illumina,http://www.finanzen.net/aktien/Illumina-Aktie,US4523271090,927079,ILMN,USA,ILMN,True
80,Incyte,http://www.finanzen.net/aktien/Incyte-Aktie,US45337C1027,896133,INCY,USA,INCY,True
81,Intuit,http://www.finanzen.net/aktien/Intuit-Aktie,US4612021034,886053,INTU,USA,INTU,True
82,Intuitive Surgical,http://www.finanzen.net/aktien/Intuitive_Surgical-Aktie,US46120E6023,888024,ISRG,USA,ISRG,True
83,J.B. Hunt Transportation Services,http://www.finanzen.net/aktien/JB_Hunt_Transportation_Services-Aktie,US4456581077,885365,JBHT,USA,JBHT,True
84,JD.com,http://www.finanzen.net/aktien/JDcom-Aktie,US47215P1066,A112ST,JD,China,JD,True
85,KLA-Tencor,http://www.finanzen.net/aktien/KLA-Tencor-Aktie,US4824801009,865884,KLAC,USA,KLAC,True
86,Lam Research,http://www.finanzen.net/aktien/Lam_Research-Aktie,US5128071082,869686,LRCX,USA,LRCX,True
87,Liberty Global,http://www.finanzen.net/aktien/Liberty_Global_C-Aktie,GB00B8W67B19,A1W0FN,LBTYK,al,LBTYK,True
88,Liberty Global A,http://www.finanzen.net/aktien/Liberty_Global-Aktie,GB00B8W67662,A1W0FL,LBTYA,USA,LBTYA,True
89,Liberty Interactive,http://www.finanzen.net/aktien/Liberty_Interactive-Aktie,US53071M8560,A2DGDK,LVNTA,USA,LVNTA,True
90,Liberty Interactive A,http://www.finanzen.net/aktien/Liberty_Interactive_a_2-Aktie,US53071M1045,A0JMPL,QVCA,USA,QVCA,True
91,Liberty Latin America,http://www.finanzen.net/aktien/Liberty_Latin_America-Aktie,BMG9001E1286,A2JATY,LILAK,USA,LILAK,True
92,Marriott,http://www.finanzen.net/aktien/Marriott-Aktie,US5719032022,913070,MAR,USA,MAR,True
93,Mattel,http://www.finanzen.net/aktien/Mattel-Aktie,US5770811025,851704,MAT,USA,MAT,True
94,Maxim Integrated Products,http://www.finanzen.net/aktien/Maxim_Integrated_Products-Aktie,US57772K1016,876158,mxim,USA,mxim,True
